Zip code,1,2,3,4,5,6,7,8,9,10,11,12
1083,365699.75,364955.3,364408.12,365064.03,364846.03,364353.12,363827.6,364106.53,363641,363890.44,363933.84,365061.7
1084,360628.7,360962.4,360687.2,361128.22,360986.06,360720.88,360456.3,360606.8,360423.25,360583.06,360636.88,361318.88
1085,368428.97,367848.97,367269,367576.03,367375.9,366994.16,366596.9,366712.66,366433.2,366571.9,366585.7,367228.3
1088,363672.56,363339.9,362896.2,363209.03,362973.88,362475.84,362195.8,362325.75,362124.72,362322.9,362389.66,363215.22
1089,370246.3,369930.8,369445.6,369650.1,369417.1,369091.28,368664.75,368799.94,368515.38,368586.62,368628.25,369161.06
1092,367161.38,366291.56,365609.56,365973.06,365664.3,365099.4,364673.44,364737.44,364310,364500.84,364494.1,365369.44
1093,363372.4,361448.84,361139.25,362028.8,361871.7,361502.8,361146.1,361428.7,361246.75,361430.2,361552.66,362054.2
1095,365854.06,365441.25,364750.75,365266.72,364958.34,364455.03,363952.12,364106.3,363700.97,363877.56,363956.8,364866.9
1096,370984.7,370463.6,369987.25,370224.62,370058.12,369681.12,369285.06,369449.88,369163.25,369270.6,369279.3,369933.06
1097,365764.66,365069.62,364431.44,364888.6,364565.3,364100.62,363612.97,363697.2,363311.1,363480.38,363533,364356.66
1098,361600.44,361396.44,361000.44,361295.3,361116.78,360827.38,360568.12,360640.12,360439.44,360538.03,360541.34,361092.78
1103,373206.9,372583.03,372057.8,372277.5,371980.44,371580,371209.8,371280.5,371047.47,371167.06,371161.12,371760.44
1104,368215.12,367428.7,366815.47,367098.3,366819.66,366320.47,365967,366046.7,365654.12,365836.56,365843.3,366645.88
1105,372702.94,372468.9,371961.9,372359.53,372104.38,371681.12,371285.44,371435.47,371181.3,371371.06,371430.5,372166.44
1106,370489.62,369742.75,369124.8,369461.88,369140.78,368780.9,368250.75,368473.06,368158.3,368245.88,368338,368930.72
1107,375298.12,374962.16,374697.56,374764.72,374661.56,374447.12,374228.22,374215.1,374053.44,374084.25,374064.88,374358.16
1108,365947.78,365202.94,364641.3,365064.06,364842.3,364437.56,364003.22,364109.94,363774.9,363954.03,364030.3,364784.84
1109,370490.8,369569.7,368906.28,369201.6,368879.56,368383.94,367969.66,368052.16,367789.44,367942.4,367926.9,368744.7
1115,371898.06,371789,371546.9,371651.94,371482.38,371234.94,370943.7,370984.7,370761.4,370829.44,370816.12,371269.8
1116,944603.6,926405.4,917523,906598.1,900423.1,901175.94,901327,898398.4,897065.5,894025.5,892503.75,885781.4
1118,376736.12,376387.75,376083.88,376174,376061.16,375847.78,375600.44,375577.38,375391.5,375425.88,375403.44,375730.97
1119,375171.94,374961.8,374715.5,374798.38,374696.44,374547.7,374306.16,374292.78,374124.34,374144.94,374134.2,374405.22
1128,362955.72,362627.28,362091.44,362540.94,362270,361760.28,361401.1,361573.06,361345.66,361531.62,361609.72,362433.94
1129,371963.53,371466.38,370969.8,371198.2,370945.8,370608.72,370232.1,370350.84,370094.88,370205.66,370219.06,370828.6
1138,366375.22,365302.38,364527.34,364877,364538.66,363864.44,363393.56,363494.4,363110.03,363247.28,363197.12,363977.6
1139,367003.25,366387.12,365890.47,366023.5,365796.2,365413.56,365138.2,365163.62,364865.2,364988.12,364968.5,365575.5
1151,373770.75,373299.94,372797.75,372976.5,372660.62,372184.6,371784.25,371851.28,371538.1,371650.47,371594.7,372312.3
1199,378258.72,377768.97,377446.53,377588.2,377438,377106.7,376879.44,376866.8,376679.03,376752.97,376737,377156.8
1201,369708.8,369247.9,368769.38,368986.94,368765.62,368400.06,368019.16,368097.5,367820.56,367945.7,367985.03,368627.2
1220,366672.4,366250.8,365820.78,365958.53,365773,365350.03,365122.9,365172.8,364953.38,365106.88,365117.16,365731.38
1222,364112,363403.53,362972.5,363418.38,363221.56,362741.47,362372.5,362570.8,362328.22,362541.44,362610.7,363454.97
1223,362315.2,361940.1,361543.78,361804.34,361578.47,361234.25,361011.44,361108.2,360956.94,361095.44,361129.7,361729.34
1224,364965.3,363927.2,363468.34,364063.3,363805.53,363198.28,362786.8,362949.2,362525.12,362799.44,362846.75,363970.7
1225,362076.3,361789.7,361331.7,361684.22,361414.25,361019.88,360728.8,360868.94,360680.06,360828.12,360831.25,361516.2
1226,367358.25,366761.7,366202,366536.03,366294.12,365810.3,365478.72,365580.88,365197.66,365388,365375.38,366205.2
1227,367665.44,367534.75,367056,367334.56,367189.53,366936.56,366505.94,366647.75,366388.22,366492.34,366549.47,367162.44
1229,946359,951041,946875.44,940380.7,935119.25,935483.1,935889,933160.4,931564.7,929251.7,927638.4,920724.25
1230,880760.1,875786.9,878280.4,876018.7,875659.25,880142.1,880981,880001.94,880420.5,879107.1,878825.75,868124.44
1235,369643.56,371566.22,371350.12,372453.2,372475.4,372079,371681.9,372094.62,371888.06,372209.88,372363.12,373201.97
1236,906182.5,903995,901736.4,895942.4,893203.56,894896.9,895728.4,892565.6,891948,890195.75,889225.75,882173.25
1237,366455.62,367141.4,366416.12,366942.84,366632.84,366055.72,365586.5,365760.6,365296.9,365554.7,365569.75,366662.25
1238,366564.75,366170.6,365754.2,365952.62,365754.38,365254.7,365025.47,365081.6,364817.34,364983,364964.16,365707.72
1240,362267.03,361195.75,361437.88,362486.2,362551.84,362140.6,361805.28,361942.66,361588.4,361690.25,361636.9,362321.22
1242,358166.75,358013.03,357861.56,357967.47,357936.53,357842.3,357747.56,357766.44,357707.06,357738.7,357754.62,357965.1
1243,370768.06,370134.34,369671.7,370092.22,369953.75,369577.3,369149.03,369379.5,369083.3,369273.22,369305.66,370066.97
1244,358640.5,359166.03,359059.03,359989.28,360197.25,359864.2,359597.97,359818.78,359642.8,359940.25,360110.25,361182.6
1245,1101678.4,1131677,1147916.5,1155288.8,1154897.9,1151966.8,1148963.2,1146392,1144745.2,1143397.8,1142645,1141073.5
1247,368496.75,368407.5,368238.38,368406.2,368283.5,368102.22,367900.44,367843.06,367659.62,367606.88,367511.8,367499.25
1253,361561.53,361467.1,361113.2,361657.8,361487.56,361100.5,360756.84,360976.1,360763.78,360987.5,361089.8,361951
1254,1061184.2,1032825,1015062.44,1000680.6,990721.4,987276.9,986267,984731.44,982733.25,980325.4,977401.7,971524.5
1255,360734.25,362292,362213.97,363321.38,363282.62,362748.5,362442.6,362742.9,362459.7,362810.8,362985.7,364257.94
1256,364670.2,363910.84,363309.6,363756.4,363443.3,362812.88,362373.38,362572.56,362278.56,362471,362537.94,363410.75
1257,884822.9,882113.25,887735.25,887045.75,888713.3,894008.1,895875.6,896875.1,899307.44,898494.1,900257.5,357293.9
1258,357600.34,357678.88,357627.22,357700.2,357679.94,357659.7,357599.4,357653.2,357632.22,357670.6,357711.2,357957.5
1259,960692,956532.6,951659.25,945524.9,942338.94,945002.94,946298,945173.25,944431.56,941903.4,939964.5,929521.5
1260,368803.75,367769.3,367200.7,367603.62,367368.34,366774.16,366477.4,366627.97,366351.47,366608.06,366588.8,367544.56
1262,984820.9,984274.5,979903.1,971378.4,966154.9,967639.7,969049.9,968303.44,967372,965003.6,962946.94,954427.2
1263,357641.06,358018.56,358036.8,358365.06,358566.47,358586.47,358521.22,358912.75,358879.22,359128.5,359276.4,360143.97
1264,362245.53,362525.3,362085.8,362630.25,362383.06,361890.66,361564.2,361771.88,361572.72,361816.38,361936.62,362860.38
1266,868042.9,868999.25,873016,872302.6,873470.4,877737.9,879134.8,879597.75,881192.6,879244.6,873783.94,357585.38
1267,997178.5,992252.25,988599,982520.5,978581.75,980281.4,982483.4,983033.6,983250.5,982191.5,980835.1,974858.8
1270,366868.12,370359.56,370317.56,371260.25,371283.6,371057.16,370746.8,371166.06,371021.22,371309.28,371452.06,372236.72
1301,370683.2,370079.8,369655.78,369811.88,369655.75,369286.56,368987.1,369101.12,368841.94,368931.75,368929.62,369484.16
1330,360344.8,360442.03,360063.94,360371.25,360195.94,359956.8,359663.44,359768.4,359584.16,359682.7,359733.47,360276.8
1331,372629.7,371745.38,371107.7,371384.75,371047.34,370556.7,370097.56,370207.2,369899.22,370032.16,370035.6,370814.7
1337,360542.8,361500.38,361151.75,361874.97,361775.06,361412.66,361065.16,361319.5,361083.75,361322.62,361414.34,362367.38
1338,357855.9,357772.4,357717.2,357765.06,357755.47,357728.97,357694.6,357706.2,357689.8,357702.25,357714.16,357778.16
1339,359000.7,358618.28,358385.44,358669.22,358753.66,358704.12,358522.44,358683.5,358551.84,358753.94,358857.44,359737.78
1340,366333.3,365860.97,365360.25,365566.44,365329.62,364833.12,364504.4,364552.34,364258.88,364459.44,364483.06,365287.3
1341,363585.12,365148.8,364987.12,365843.2,365707.38,365318.97,364955.53,365286.06,365001.38,365349.12,365448.03,366620.25
1342,362675.88,362783.84,362216,362799.06,362552.34,361977.94,361618.06,361853.7,361619.25,361845.72,361935.38,362774.94
1343,365677.28,364757.66,364165.2,364645.7,364342.44,363867.1,363382.56,363518.62,363156.25,363373.75,363468.84,364354.84
1344,366742.25,366322.75,365864.5,366094.8,365787.47,365274.44,364852.44,364794.94,364413.72,364480.97,364416.78,365110.47
1346,367867.94,367508.7,366997.38,367188,366993.1,366535.28,366167.8,366272.62,365962.6,366066.72,365994.72,366727.4
1347,372996.3,372741.72,372441.2,372555.2,372406.47,372163,371886.94,371942.88,371761.22,371827.12,371860.12,372248.62
1349,366233.38,365574.1,365081.12,365351.75,365088.6,364684.25,364386.28,364446.44,364133.78,364291.12,364317.9,365057.25
1350,387098.97,361647.47,361694.44,361812.44,361720.12,361526.25,361353.34,361398.16,361262.84,361293.16,361266.34,361413.97
1351,373048.97,372600.66,372123.12,372369.38,372122.03,371731.34,371341.8,371428.25,371154.44,371273.7,371278.06,371853.56
1354,372744.72,372408.3,372004.2,372202.44,371996.75,371701.3,371350.56,371430.5,371220.62,371318.47,371320.16,371815.3
1355,360085.1,360145.44,359825.5,360090.88,359937.72,359694.44,359452.38,359521.12,359352.53,359436.5,359463.34,359926.3
1360,359961.2,360003.47,359698.56,360061.4,359951.03,359657.16,359419.94,359522.25,359339.84,359461.94,359502.8,360101.25
1364,367704.75,366568.78,365877.22,366283.8,365983.12,365472.12,365014.9,365153,364735,364899.62,364904,365785.75
1366,363236.12,363462.3,362997.1,363754.7,363503.6,362865.72,362457.88,362676.7,362375.34,362698.5,362849.97,363964.28
1367,357936.2,358823.38,359084.25,359863.03,359770.56,359463.7,359272,359476.78,359358.12,359546.75,359656.47,360275.4
1368,364610.12,364171.75,363633.53,364248.9,364004.66,363388.06,362912.4,363067.9,362737.28,363020.3,363105.06,364135.3
1370,370234.44,369707.3,369090.53,369394.34,369106.66,368579.6,368212.75,368298.38,368037.06,368229.7,368206.3,369042.16
1373,364173.4,363659.03,363170.56,363602.56,363394.84,362899.78,362465.38,362609.72,362359.66,362560.75,362664.44,363416.8
1375,366085.4,365974.72,365566.25,365836.47,365718.22,365471.44,365109.28,365317.34,365102.75,365221.7,365259.56,365829.4
1376,373012.62,372476.12,371917.22,372082.2,371802.5,371323.5,370958.8,370963.28,370555.62,370646.4,370597,371291.06
1378,360882.62,361026.38,360670.75,361149,360950.53,360628.66,360322.38,360494.3,360269.38,360414.84,360447.8,361177.03
1379,373888.53,373455.88,373113.06,373323.9,373143.75,372850.28,372562.8,372660.12,372447.8,372555.6,372599.8,373067.62
1380,363005.12,362584.28,362103.47,362494.8,362229.88,361870.75,361488.84,361678.1,361429.7,361564.66,361599.25,362295.1
1420,364685.88,364276.56,363818.72,364236.47,364079.7,363717.12,363357.12,363496.16,363202.97,363405.7,363480.97,364202.62
1430,363003.5,362316.28,361801.12,362186.28,361899.97,361405.38,361107.44,361246.7,361050.9,361211.38,361258.75,361972.38
1431,361491.56,361654.03,361273.38,361681.03,361453.7,361028.3,360729.7,360918.7,360726.22,360935.47,361022.8,361830.7
1432,359705.06,359238.7,358927.53,359241.94,359253.62,359055.06,358824.3,358925.88,358754.1,358843.7,358878.16,359388.44
1434,359954.7,359479.12,359162.22,359882.12,360109,359952.38,359695.25,360033.7,359887.44,360068.1,360186.2,360842.16
1436,362602.9,362465.4,362004.12,362434.16,362172.56,361699,361369.75,361551.25,361341.62,361530.75,361614.22,362409.94
1438,362737.53,362727.56,362330.75,362823.88,362624.38,362131.9,361815.56,361977.78,361804.9,362032.28,362138.62,362946.84
1440,370902.5,370423.62,369991.2,370258.2,370088.75,369822,369443.88,369606.78,369378.62,369472.6,369530.8,370080.62
1450,955518.7,936853.75,931397.6,926143.06,924384.6,928635.7,930516.9,929957.94,929975,927729.6,926034.6,915891.3
1451,358181.47,359283.75,359256.56,360491.72,360662.1,360369.2,360128.5,360454,360332.97,360587.1,360731.22,361391.97
1452,361804.56,361622.1,361238.38,361801.12,361603.94,361065.94,360776.56,360982.12,360814.16,361034.4,361155.6,361972.62
1453,366470.22,365813.38,365230.03,365747.56,365482.75,365047.44,364602.25,364781.75,364430.94,364610.8,364636.38,365490.25
1460,358244.22,358854.38,358775.62,359962.03,360597.88,360286.84,360136.5,360562.97,360326,360671.2,360798.56,361979.38
1462,359310.75,360002.12,360017.4,361441.75,361557.5,361114.22,360802.56,361208.6,361010.47,361439.12,361641.38,363078.06
1463,360883.06,360806.75,360359.84,360663.88,360439.25,360099.62,359802.72,359845.4,359627.72,359717.2,359743.25,360288.34
1464,368504.2,367711.75,367071.2,367570.62,367321.88,366894.7,366398,366610.2,366299.3,366479.2,366494.12,367400.06
1467,1040190.5,1054296.4,1060498,1062626.8,1063135.5,1067673.5,1076495.2,1088583,1103389.6,1120980.8,1135323.4,1143691.9
1468,368283.47,367498.94,366906.62,367320.94,367104.7,366715.94,366276.12,366470.06,366101.12,366285.62,366288.8,367165.97
1469,371222.25,370647.62,370149.78,370248.72,370032,369590.47,369283.72,369336.72,369005.44,369114.5,369091.06,369765.25
1471,358914.34,359087.1,358918.56,359190.56,359147.47,359006.9,358862.84,358962.94,358884.56,358980.75,359049.8,359475.9
1473,365030.25,364478.66,363941.88,364289.94,364041.5,363611.8,363203.12,363260.25,362974.5,363152,363204.75,363942.7
1474,366732.66,366054.94,365346.5,365875.72,365562.88,364992.2,364481.22,364653.8,364200.62,364415.2,364419.56,365456.25
1475,369823.75,369585.78,369228.3,369399.34,369209.06,368915.56,368528.2,368547.38,368247.5,368304.34,368227.1,368838.4
1501,364333.47,363955.38,363554.7,363999.5,363842.97,363534.34,363141.72,363339.72,363088.06,363291.4,363430.9,364139.62
1503,359162.03,359562.06,359467.62,360880.25,361158.5,360660.53,360346.34,360693.88,360475.8,360834.03,360912.2,362303.75
1504,364222.06,363945.75,363411.22,363978.1,363730.47,363145.56,362754.56,362925.03,362568.5,362842.44,362944.2,363992.8
1505,360397.84,360248.16,359867.3,360165.62,359998.4,359698.53,359406.62,359473.53,359255.12,359339.94,359358.06,359901.78
1506,370975.34,370344.06,369912.66,370109.03,369942.3,369536.12,369236.9,369349.3,369079.25,369200.4,369207.6,369843.97
1507,364554.62,364101.62,363504.62,363856.75,363577.7,363014.2,362630.22,362773.4,362513.53,362672.2,362697.84,363456.5
1508,378395.53,377805,377401.47,377462.88,377237.75,376876.8,376623.38,376613.94,376400.25,376405,376315.66,376692.8
1510,360975.34,361085.97,360781.06,361280.6,361113.25,360702.5,360413.5,360633.75,360479.4,360696.28,360812.1,361584.66
1515,363240.12,363296.12,362862.12,363028.1,362904.56,362434.78,362102.62,362265.97,362043.94,362218.2,362258.84,362880.06
1516,360605.75,360716.94,360444.56,360976.78,360833.12,360479.06,360180.88,360383.38,360214.88,360420.16,360496.53,361322.2
1518,368179.56,367224.72,366527.5,366812.12,366553.7,365956.62,365572.6,365664.47,365219.62,365377.7,365364.2,366224.2
1519,359446.75,359569.3,359224.97,359484.28,359293.66,359057.3,358800.47,358842.75,358681.78,358741.7,358774.88,359184.44
1520,360166.28,360249.56,359955.84,360362.4,360250.9,359991.6,359711.94,359840.62,359640.84,359782,359830.97,360503.4
1521,369933.28,369420.56,368897.06,369293.47,369085.38,368712.94,368277.66,368405.16,368041.5,368200.44,368212.78,368989.47
1522,368968.78,368178,367537.72,368080.38,367810.78,367302.44,366862.94,367071.6,366652.16,366937.28,366896.84,367980.3
1523,366533.9,366970.47,366544.2,367635.5,367405.6,366775.56,366288.75,366702.4,366327.3,366736.8,366889.6,368273.6
1524,357987.06,357966.5,357836.4,357946.97,357891,357809.1,357713.5,357744.97,357695.5,357723.44,357740.12,357919.1
1527,363322.25,362999.94,362593.78,363144.56,362955.5,362480.38,362073.88,362235,362018.2,362249,362357.44,363184.16
