Zip code,1,2,3,4,5,6,7,8,9,10,11,12
1083,349757.12,351007.78,360190.25,348304.44,349301.28,350702.22,360097.75,351657.7,356119.3,351685.53,347574,333155
1084,419697.25,401779.8,407040.72,395375.25,396873.84,398003.2,405722.28,399530.22,402293.5,398390.47,394548.75,380877.6
1085,306023.88,315198.75,325108,318062.06,319436.56,320875.16,328463.2,323723.2,326207.25,323948.62,321225.06,313320.56
1088,346955.22,353424.2,363009.22,357257,360444.12,364026.7,371629.75,366507.3,368916.06,365453.28,361658.12,349503.9
1089,299040,303090.53,310866,305026.38,306865.38,307587.38,314835,310222.66,312460.1,311074.56,308156.06,302401.6
1092,307862.25,322627.34,333899.62,327399.16,330438.12,333490.12,341873.12,338049.7,342866.62,340097.75,337423.53,327257.06
1093,350055.94,380323.9,386081,364019.72,363804.16,366454.56,375512.56,368252.75,371406.12,367987.28,364434.94,356342.62
1095,337558.06,343072.7,354210.3,344506.44,346922.94,349050.12,358457.88,352574.3,357110,354036.62,349943.94,338151.3
1096,288148.9,296777.2,305312.06,299961.75,301359.8,302538.5,309851.2,305251.66,307578.8,306141.62,303592.62,296835.72
1097,328688.06,337438.62,348152.03,339486.3,342608.44,344690.7,353948.2,349490.75,353715.75,350789.6,347151.25,336582.8
1098,379802.75,381012.62,389784.38,381646.06,384453.88,387284.3,394805.97,390921.1,394580.4,392082.8,389815.38,378238.38
1103,279213.6,286778.38,294607.7,288939.8,291042.72,292125.88,298795.44,295212,296925.94,295300.56,292936.9,286965.62
1104,313943.78,322283.3,331336.3,325686,328091.8,330323.2,337097.66,333478.62,337406,335039.78,332398.5,323417.28
1105,295152.7,294190.12,301105.8,293560.25,294839.34,295453.53,302318.3,297448.25,299136.7,296702.75,293327.22,286422.7
1106,295260.12,304968.06,314141.7,307058.75,309555.8,310568.75,318725.78,313407.3,315989,314493.44,311184.72,304590.6
1107,260367.67,268296.3,273863.06,270744.5,271458.12,271675.88,276424.62,274675.94,276224.38,275771.88,274413.44,271135.7
1108,332247.7,340901.25,350528.8,341964.88,343655.88,345174.7,353762.03,348769.38,352605.12,349427.9,345574.3,335242.1
1109,296738.94,307278.56,316577.88,310793.8,313391.34,315057.8,322254.78,318385.1,320463.94,318580.06,316300.38,307984.06
1115,280151.5,285217.34,291190.7,286896.28,288363.5,288849.4,294818.94,291743.5,293631.3,292630.75,290617,286038.66
1116,946254.56,829378,776342.75,723598.8,694255.4,681063.06,683704.06,666370.3,657442,646125.25,634880.1,617240
1118,256488.17,263306.1,268666.94,265557.84,266295.22,266225.56,270795.1,269141.44,270758.3,270357.22,269039.94,265909.03
1119,261664.14,267792.22,273075.38,269973.88,270721.16,270637.62,275308.4,273736.56,275410.5,274992.72,273722.75,270638.28
1128,361781.8,365318.34,376573.38,368017.2,371832.94,375932.97,385041.78,378594.25,381449.94,377697.25,373539.12,360348.72
1129,286661.12,293887.2,302185.56,296246.94,298250.75,298786,305816.06,301447.2,303391,301623.12,298958.5,292303
1138,313051.62,327257.25,338591.94,331756.06,334907.6,339590.38,348347.28,343479.25,347384.56,344683.34,342540.06,332862.94
1139,315271.94,324420.8,333180.88,328732,331093.2,332743.8,339218.38,336256,339708.3,337877.5,335754.7,328251.28
1151,272940.62,280138,287485.28,282547.25,284542.12,285591.7,292085.56,288282.06,290263.25,288795.75,286931,281183.3
1199,262103.28,264030.5,268368.38,264503.6,265109.97,265089.44,269323.97,267274.94,268516.28,267776.75,266024.44,262447.78
1201,304272.16,309223.34,316936.12,311532.66,313123.25,314108.3,321092,317154.25,319545.44,317677.75,314953.5,307706.4
1220,319233.88,325355.8,333117.25,329202.84,331209.22,333795,339476.88,336467.75,338804.75,336694.5,334252.56,326589.44
1222,340772.75,351880.88,361332.75,354171.97,356927,360262.12,369111.12,362852.3,365719.34,362008.62,358136,345912.44
1223,363776.4,370857.34,379967.5,373376.94,376470.6,378693.62,385653.53,380393.03,382399.12,379138.56,375816.56,364552.62
1224,341284.56,351255.12,360493.75,351707.7,354815.1,358697.44,367856.75,362100.22,367350.4,362852.4,358859.53,343676.5
1225,369306.5,374122.25,384276.94,375312.4,378973.3,381986.84,390201.84,383483.56,385990.88,382403.16,379574.06,366211.25
1226,316181.6,324504.97,334134.4,327722.7,329921.88,331964.56,339125.4,334724.12,338909.88,336259.56,333669.28,323705.03
1227,320708.56,321863.3,330211.1,323946.56,325268.62,325653.94,333434.2,328733.5,331073,329214.3,326008.94,318258
1229,571357.56,577580.9,568952.3,526631.25,499660.75,481980.3,483977.3,460065.28,453160.56,446912.53,440116,424001.75
1230,575809.4,573109.8,585063.7,572615.75,568016.25,567517.8,575301.75,565692.9,564200.25,560829.44,553740.7,531361.4
1235,341721.78,317180.03,322828.3,310741.06,309555.3,308998.38,315767.94,308227.38,308928.94,304995.62,300208.1,291426.06
1236,787835.4,729375.5,711543.75,681564.25,666584.2,659234.1,664608.5,648830.56,642855.3,635852.3,626901,613381.4
1237,323081.2,322001.38,334024.28,326472.72,329423.5,332133.3,340659.3,335391.94,340163.7,336794.62,334053.4,321750.8
1238,311336.8,321338.8,330364.84,325469.47,327630,330544.62,336931.53,333243.75,336457.75,334073.3,331799.7,322653.72
1240,368004.94,379958.12,377543.56,358317.8,355753.12,357750.78,364954.9,358580.62,363298.5,360794.03,359382.44,348246.47
1242,437665.44,448361.2,458513.25,450565.2,451531.56,453916.7,462191.1,457395.84,460502.06,457731.62,454137.62,442058.22
1243,297357.34,304147,312352.4,305187.8,306054.44,306754.56,314301.3,308672.88,310833.12,308355.25,305208.5,297141.5
1244,443634.78,425298.8,429675.5,406778.97,405889.1,409190.2,420198.06,411970.9,414457.62,406880.2,398949.88,378508.06
1245,1457522.8,1718048.5,1950669.8,2153953,2311301.8,2394943.5,2465583.2,2505116.8,2529704.8,2553335.8,2561343.2,2591289.5
